Round,ClusterID,MemberCount,ExpectedMembers,ReceivedMembers,AggregationCompletion,AvgMembersPerCluster,TotalClusters,UnclusteredNodes,AvgDistToCH,DeadlineHit
1,3,9,9,9,1,4.92857,14,17,70.4379,0
1,12,10,10,10,1,4.92857,14,17,70.4379,0
1,19,6,6,6,1,4.92857,14,17,70.4379,0
1,28,6,6,6,1,4.92857,14,17,70.4379,0
1,35,0,0,0,1,4.92857,14,17,70.4379,0
1,40,8,8,8,1,4.92857,14,17,70.4379,0
1,42,7,7,7,1,4.92857,14,17,70.4379,0
1,44,0,0,0,1,4.92857,14,17,70.4379,0
1,59,12,12,12,1,4.92857,14,17,70.4379,0
1,66,1,1,1,1,4.92857,14,17,70.4379,0
1,84,0,0,0,1,4.92857,14,17,70.4379,0
1,88,10,10,10,1,4.92857,14,17,70.4379,0
1,95,0,0,0,1,4.92857,14,17,70.4379,0
1,98,0,0,0,1,4.92857,14,17,70.4379,0
2,8,11,11,11,1,5.9,10,31,62.252,0
2,16,10,10,10,1,5.9,10,31,62.252,0
2,26,8,8,8,1,5.9,10,31,62.252,0
2,30,6,6,6,1,5.9,10,31,62.252,0
2,34,12,12,12,1,5.9,10,31,62.252,0
2,41,1,1,1,1,5.9,10,31,62.252,0
2,60,1,1,1,1,5.9,10,31,62.252,0
2,75,1,1,1,1,5.9,10,31,62.252,0
2,94,1,1,1,1,5.9,10,31,62.252,0
2,96,8,8,8,1,5.9,10,31,62.252,0
3,4,10,10,10,1,7.75,8,30,71.2601,0
3,11,10,10,10,1,7.75,8,30,71.2601,0
3,17,11,11,11,1,7.75,8,30,71.2601,0
3,47,12,12,12,1,7.75,8,30,71.2601,0
3,53,3,3,3,1,7.75,8,30,71.2601,0
3,79,7,7,7,1,7.75,8,30,71.2601,0
3,89,2,2,2,1,7.75,8,30,71.2601,0
3,93,7,7,7,1,7.75,8,30,71.2601,0
4,5,12,12,12,1,5.18182,11,32,66.7259,0
4,23,10,10,10,1,5.18182,11,32,66.7259,0
4,39,6,6,6,1,5.18182,11,32,66.7259,0
4,58,10,10,10,1,5.18182,11,32,66.7259,0
4,61,8,8,8,1,5.18182,11,32,66.7259,0
4,63,8,8,8,1,5.18182,11,32,66.7259,0
4,65,0,0,0,1,5.18182,11,32,66.7259,0
4,69,3,3,3,1,5.18182,11,32,66.7259,0
4,71,0,0,0,1,5.18182,11,32,66.7259,0
4,86,0,0,0,1,5.18182,11,32,66.7259,0
4,97,0,0,0,1,5.18182,11,32,66.7259,0
5,33,10,10,10,1,8,5,55,69.2425,0
5,43,7,7,7,1,8,5,55,69.2425,0
5,51,6,6,6,1,8,5,55,69.2425,0
5,73,6,6,6,1,8,5,55,69.2425,0
5,77,11,11,11,1,8,5,55,69.2425,0
6,0,7,7,7,1,5.58333,12,21,61.2993,0
6,1,4,4,4,1,5.58333,12,21,61.2993,0
6,24,6,6,6,1,5.58333,12,21,61.2993,0
6,37,13,13,13,1,5.58333,12,21,61.2993,0
6,45,10,10,10,1,5.58333,12,21,61.2993,0
6,49,9,9,9,1,5.58333,12,21,61.2993,0
6,52,6,6,6,1,5.58333,12,21,61.2993,0
6,54,3,3,3,1,5.58333,12,21,61.2993,0
6,67,1,1,1,1,5.58333,12,21,61.2993,0
6,85,3,3,3,1,5.58333,12,21,61.2993,0
6,87,3,3,3,1,5.58333,12,21,61.2993,0
6,90,2,2,2,1,5.58333,12,21,61.2993,0
7,10,11,11,11,1,6.375,8,41,64.9774,0
7,18,8,8,8,1,6.375,8,41,64.9774,0
7,22,3,3,3,1,6.375,8,41,64.9774,0
7,62,10,10,10,1,6.375,8,41,64.9774,0
7,64,5,5,5,1,6.375,8,41,64.9774,0
7,70,5,5,5,1,6.375,8,41,64.9774,0
7,74,5,5,5,1,6.375,8,41,64.9774,0
7,83,4,4,4,1,6.375,8,41,64.9774,0
8,13,10,10,10,1,4.91667,12,29,68.7431,0
8,14,8,8,8,1,4.91667,12,29,68.7431,0
8,21,6,6,6,1,4.91667,12,29,68.7431,0
8,25,0,0,0,1,4.91667,12,29,68.7431,0
8,27,4,4,4,1,4.91667,12,29,68.7431,0
8,31,8,8,8,1,4.91667,12,29,68.7431,0
8,38,2,2,2,1,4.91667,12,29,68.7431,0
8,46,2,2,2,1,4.91667,12,29,68.7431,0
8,72,11,11,11,1,4.91667,12,29,68.7431,0
8,76,1,1,1,1,4.91667,12,29,68.7431,0
8,80,2,2,2,1,4.91667,12,29,68.7431,0
8,81,5,5,5,1,4.91667,12,29,68.7431,0
9,6,10,10,10,1,5.76923,13,12,58.9954,0
9,7,9,9,9,1,5.76923,13,12,58.9954,0
9,15,7,7,7,1,5.76923,13,12,58.9954,0
9,20,9,9,9,1,5.76923,13,12,58.9954,0
9,29,1,1,1,1,5.76923,13,12,58.9954,0
9,48,4,4,4,1,5.76923,13,12,58.9954,0
9,50,2,2,2,1,5.76923,13,12,58.9954,0
9,55,3,3,3,1,5.76923,13,12,58.9954,0
9,57,7,7,7,1,5.76923,13,12,58.9954,0
9,68,3,3,3,1,5.76923,13,12,58.9954,0
9,78,5,5,5,1,5.76923,13,12,58.9954,0
9,82,10,10,10,1,5.76923,13,12,58.9954,0
9,99,5,5,5,1,5.76923,13,12,58.9954,0
10,2,6,6,6,1,6.71429,7,46,67.9447,0
10,9,9,9,9,1,6.71429,7,46,67.9447,0
10,32,5,5,5,1,6.71429,7,46,67.9447,0
10,36,5,5,5,1,6.71429,7,46,67.9447,0
10,56,10,10,10,1,6.71429,7,46,67.9447,0
10,91,3,3,3,1,6.71429,7,46,67.9447,0
10,92,9,9,9,1,6.71429,7,46,67.9447,0
11,2,5,5,5,1,6.11111,9,36,66.3308,0
11,13,12,12,12,1,6.11111,9,36,66.3308,0
11,22,2,2,2,1,6.11111,9,36,66.3308,0
11,29,11,11,11,1,6.11111,9,36,66.3308,0
11,47,12,12,12,1,6.11111,9,36,66.3308,0
11,50,0,0,0,1,6.11111,9,36,66.3308,0
11,58,7,7,7,1,6.11111,9,36,66.3308,0
11,62,5,5,5,1,6.11111,9,36,66.3308,0
11,99,1,1,1,1,6.11111,9,36,66.3308,0
12,0,7,7,7,1,7.4,5,58,69.6368,0
12,41,12,12,12,1,7.4,5,58,69.6368,0
12,42,16,16,16,1,7.4,5,58,69.6368,0
12,66,2,2,2,1,7.4,5,58,69.6368,0
12,89,0,0,0,1,7.4,5,58,69.6368,0
13,5,10,10,10,1,5.91667,12,17,65.4407,0
13,8,10,10,10,1,5.91667,12,17,65.4407,0
13,20,12,12,12,1,5.91667,12,17,65.4407,0
13,27,2,2,2,1,5.91667,12,17,65.4407,0
13,30,3,3,3,1,5.91667,12,17,65.4407,0
13,31,6,6,6,1,5.91667,12,17,65.4407,0
13,45,5,5,5,1,5.91667,12,17,65.4407,0
13,59,13,13,13,1,5.91667,12,17,65.4407,0
13,61,0,0,0,1,5.91667,12,17,65.4407,0
13,71,0,0,0,1,5.91667,12,17,65.4407,0
13,72,6,6,6,1,5.91667,12,17,65.4407,0
13,88,4,4,4,1,5.91667,12,17,65.4407,0
14,6,9,9,9,1,5.16667,12,26,64.3117,0
14,12,4,4,4,1,5.16667,12,26,64.3117,0
14,19,12,12,12,1,5.16667,12,26,64.3117,0
14,33,8,8,8,1,5.16667,12,26,64.3117,0
14,48,4,4,4,1,5.16667,12,26,64.3117,0
14,51,6,6,6,1,5.16667,12,26,64.3117,0
14,54,9,9,9,1,5.16667,12,26,64.3117,0
14,90,0,0,0,1,5.16667,12,26,64.3117,0
14,92,0,0,0,1,5.16667,12,26,64.3117,0
14,94,0,0,0,1,5.16667,12,26,64.3117,0
14,96,8,8,8,1,5.16667,12,26,64.3117,0
14,97,2,2,2,1,5.16667,12,26,64.3117,0
15,10,9,9,9,1,4.83333,12,30,67.6992,0
15,17,9,9,9,1,4.83333,12,30,67.6992,0
15,24,8,8,8,1,4.83333,12,30,67.6992,0
15,38,4,4,4,1,4.83333,12,30,67.6992,0
15,52,10,10,10,1,4.83333,12,30,67.6992,0
15,68,2,2,2,1,4.83333,12,30,67.6992,0
15,73,7,7,7,1,4.83333,12,30,67.6992,0
15,76,0,0,0,1,4.83333,12,30,67.6992,0
15,81,4,4,4,1,4.83333,12,30,67.6992,0
15,82,0,0,0,1,4.83333,12,30,67.6992,0
15,84,5,5,5,1,4.83333,12,30,67.6992,0
15,87,0,0,0,1,4.83333,12,30,67.6992,0
16,11,10,10,10,1,4,13,35,66.3271,0
16,14,7,7,7,1,4,13,35,66.3271,0
16,15,6,6,6,1,4,13,35,66.3271,0
16,23,0,0,0,1,4,13,35,66.3271,0
16,32,3,3,3,1,4,13,35,66.3271,0
16,36,1,1,1,1,4,13,35,66.3271,0
16,40,6,6,6,1,4,13,35,66.3271,0
16,55,1,1,1,1,4,13,35,66.3271,0
16,77,8,8,8,1,4,13,35,66.3271,0
16,83,4,4,4,1,4,13,35,66.3271,0
16,86,2,2,2,1,4,13,35,66.3271,0
16,95,4,4,4,1,4,13,35,66.3271,0
16,98,0,0,0,1,4,13,35,66.3271,0
17,28,8,8,8,1,7.66667,6,48,69.4051,0
17,49,8,8,8,1,7.66667,6,48,69.4051,0
17,60,0,0,0,1,7.66667,6,48,69.4051,0
17,67,12,12,12,1,7.66667,6,48,69.4051,0
17,75,7,7,7,1,7.66667,6,48,69.4051,0
17,80,11,11,11,1,7.66667,6,48,69.4051,0
18,25,8,8,8,1,7.4,5,58,64.8938,0
18,39,8,8,8,1,7.4,5,58,64.8938,0
18,46,6,6,6,1,7.4,5,58,64.8938,0
18,56,7,7,7,1,7.4,5,58,64.8938,0
18,57,8,8,8,1,7.4,5,58,64.8938,0
19,16,10,10,10,1,6.36364,11,19,64.5437,0
19,43,11,11,11,1,6.36364,11,19,64.5437,0
19,44,6,6,6,1,6.36364,11,19,64.5437,0
19,53,5,5,5,1,6.36364,11,19,64.5437,0
19,64,10,10,10,1,6.36364,11,19,64.5437,0
19,65,2,2,2,1,6.36364,11,19,64.5437,0
19,69,10,10,10,1,6.36364,11,19,64.5437,0
19,74,3,3,3,1,6.36364,11,19,64.5437,0
19,79,1,1,1,1,6.36364,11,19,64.5437,0
19,85,10,10,10,1,6.36364,11,19,64.5437,0
19,91,2,2,2,1,6.36364,11,19,64.5437,0
20,1,5,5,5,1,4.66667,15,15,69.1322,0
20,3,8,8,8,1,4.66667,15,15,69.1322,0
20,4,10,10,10,1,4.66667,15,15,69.1322,0
20,7,8,8,8,1,4.66667,15,15,69.1322,0
20,9,1,1,1,1,4.66667,15,15,69.1322,0
20,18,2,2,2,1,4.66667,15,15,69.1322,0
20,21,7,7,7,1,4.66667,15,15,69.1322,0
20,26,1,1,1,1,4.66667,15,15,69.1322,0
20,34,13,13,13,1,4.66667,15,15,69.1322,0
20,35,1,1,1,1,4.66667,15,15,69.1322,0
20,37,6,6,6,1,4.66667,15,15,69.1322,0
20,63,6,6,6,1,4.66667,15,15,69.1322,0
20,70,1,1,1,1,4.66667,15,15,69.1322,0
20,78,1,1,1,1,4.66667,15,15,69.1322,0
20,93,0,0,0,1,4.66667,15,15,69.1322,0
21,2,5,5,5,1,5.88889,9,38,70.1041,0
21,8,10,10,10,1,5.88889,9,38,70.1041,0
21,9,3,3,3,1,5.88889,9,38,70.1041,0
