Instance,CHID,StartTime,Duration_s,Successful
1,3,60.3304,25.1495,Yes
2,9,85.4799,25.4175,Yes
3,1,110.897,32.1671,Yes
4,15,143.065,37.5532,Yes
5,24,180.618,31.4733,Yes
6,36,212.091,31.7998,Yes
7,31,243.891,24.6889,Yes
8,12,268.58,21.1756,Yes
9,19,289.755,17.7858,Yes
10,42,307.541,16.3348,Yes
11,27,323.876,23.5858,Yes
12,28,347.462,28.4676,Yes
13,40,419.858,26.5092,Yes
14,32,446.368,28.4555,Yes
15,46,474.823,20.4482,Yes
16,59,495.271,28.6462,Yes
17,66,523.917,36.6432,Yes
18,68,560.561,22.9937,Yes
19,76,583.554,18.3572,Yes
20,87,601.911,14.2295,Yes
21,91,616.141,37.5333,Yes
22,67,702.576,24.7152,Yes
23,2,825.048,13.2783,Yes
24,4,838.326,33.271,Yes
25,16,871.597,14.7537,Yes
26,11,886.351,25.989,Yes
27,23,912.34,37.9163,Yes
28,31,950.256,21.6184,Yes
29,8,971.875,27.1345,Yes
30,1,999.009,19.7884,Yes
31,15,1018.8,37.5532,Yes
32,36,1056.35,35.5711,Yes
33,39,1091.92,33.8281,Yes
34,32,1125.75,23.5905,Yes
35,34,1149.34,24.1186,Yes
36,41,1173.46,37.4979,Yes
37,46,1210.96,27.7819,Yes
38,65,1238.74,4.86626,Yes
39,22,1243.61,30.3496,Yes
40,27,1273.95,18.9968,Yes
41,28,1292.95,28.4676,Yes
42,35,1321.42,34.024,Yes
43,38,1355.44,20.9425,Yes
44,44,1376.39,36.7567,Yes
45,48,1413.14,32.8131,Yes
46,50,1445.96,26.5568,Yes
47,26,1496.96,26.7485,Yes
48,4,1618.96,35.2455,Yes
49,14,1654.2,20.1518,Yes
50,7,1674.36,15.5907,Yes
51,11,1689.95,8.60552,Yes
52,17,1698.55,34.502,Yes
53,20,1733.05,6.23332,Yes
54,21,1739.29,32.9032,Yes
55,24,1772.19,36.2683,Yes
56,25,1808.46,37.7144,Yes
57,29,1846.17,34.4129,Yes
58,32,1880.59,26.5612,Yes
59,40,1907.15,28.4555,Yes
60,62,1935.6,17.049,Yes
61,31,1952.65,19.3057,Yes
62,26,1971.96,7.7262,Yes
63,30,1979.68,29.6191,Yes
64,47,2009.3,9.71478,Yes
65,64,2019.02,25.5877,Yes
66,49,2044.61,28.1983,Yes
67,53,2072.8,27.2899,Yes
68,22,2100.09,31.4761,Yes
69,38,2131.57,23.0897,Yes
70,55,2197.09,21.2801,Yes
71,60,2218.37,37.4705,Yes
72,75,2255.85,35.4625,Yes
73,18,2377.78,29.279,Yes
74,19,2407.06,33.8656,Yes
75,26,2440.93,35.8401,Yes
76,52,2476.77,34.8277,Yes
77,57,2511.6,37.0837,Yes
78,61,2548.68,26.8977,Yes
79,51,2575.58,26.9544,Yes
80,21,2602.53,21.6954,Yes
81,24,2624.23,36.2683,Yes
82,25,2660.49,37.7144,Yes
83,56,2728.34,24.727,Yes
84,39,2753.07,33.5811,Yes
85,32,2786.65,23.5905,Yes
86,13,2810.24,32.2942,Yes
87,43,2842.53,36.8657,Yes
88,46,2879.4,33.7277,Yes
89,58,2913.13,12.1444,Yes
90,22,2925.27,19.8649,Yes
91,2,2945.14,21.082,Yes
92,5,2966.22,25.1559,Yes
93,28,2991.37,15.5095,Yes
94,35,3006.88,34.024,Yes
95,38,3040.91,20.9425,Yes
96,0,3150.45,35.4317,Yes
97,3,3185.88,36.1523,Yes
98,8,3222.03,36.1809,Yes
99,18,3258.21,27.9485,Yes
100,19,3286.16,33.8656,Yes
101,14,3320.03,23.4923,Yes
102,4,3343.52,20.1518,Yes
103,2,3363.67,33.271,Yes
104,5,3396.94,25.1559,Yes
105,6,3422.1,36.7368,Yes
106,17,3458.84,5.76314,Yes
107,21,3480.72,22.8661,Yes
108,24,3503.59,36.2683,Yes
109,25,3539.86,37.7144,Yes
110,29,3586.87,36.6705,Yes
111,39,3623.54,35.3992,Yes
112,40,3658.94,29.2456,Yes
113,70,3688.19,34.9556,Yes
114,43,3723.14,17.113,Yes
115,33,3740.26,27.8671,Yes
116,22,3768.12,29.0856,Yes
117,27,3797.21,18.9968,Yes
118,28,3816.2,28.4676,Yes
119,22,3934.97,24.7634,Yes
120,2,3959.74,21.082,Yes
121,4,3980.82,33.271,Yes
122,27,4014.09,36.1788,Yes
123,28,4050.27,28.4676,Yes
124,35,4078.74,34.024,Yes
125,33,4112.76,30.5634,Yes
126,23,4143.32,12.5457,Yes
127,20,4155.87,30.4908,Yes
128,1,4186.36,30.0797,Yes
129,0,4216.44,21.8373,Yes
130,26,4238.28,7.45869,Yes
131,30,4245.74,29.6191,Yes
132,45,4275.35,7.9624,Yes
133,49,4283.32,19.9326,Yes
134,53,4303.25,27.2899,Yes
135,38,4330.54,11.2348,Yes
136,44,4341.77,36.7567,Yes
137,48,4378.53,32.8131,Yes
138,50,4411.34,26.5568,Yes
139,24,4480.88,15.6682,Yes
140,51,4496.55,31.9595,Yes
141,37,4566.27,29.6328,Yes
142,56,4595.91,18.8228,Yes
143,2,4719.39,36.0517,Yes
144,4,4755.45,33.271,Yes
145,5,4788.72,33.9319,Yes
146,6,4822.65,36.7368,Yes
147,10,4859.39,28.9874,Yes
148,12,4888.37,28.4245,Yes
149,14,4916.8,32.2847,Yes
150,27,4949.08,27.4607,Yes
151,22,4976.54,18.9968,Yes
152,38,4995.54,23.0897,Yes
153,44,5018.63,36.7567,Yes
154,50,5055.39,36.9755,Yes
155,0,5130.56,19.5218,Yes
156,1,5150.08,21.8373,Yes
157,9,5171.92,32.1671,Yes
158,15,5204.08,34.921,Yes
159,20,5239,29.6114,Yes
160,21,5268.62,32.9032,Yes
161,24,5301.52,36.2683,Yes
162,25,5337.79,37.7144,Yes
163,10,5473.96,1.6858,Yes
164,16,5475.64,35.0908,Yes
165,17,5510.74,35.0947,Yes
166,13,5545.83,3.70433,Yes
167,33,5549.53,15.4397,Yes
168,22,5564.97,29.0856,Yes
169,27,5594.06,18.9968,Yes
170,14,5613.06,27.4607,Yes
171,42,5640.52,26.8375,Yes
172,31,5667.35,27.0575,Yes
173,0,5694.41,19.46,Yes
174,1,5713.87,21.8373,Yes
175,8,5735.71,19.7884,Yes
176,9,5755.5,34.0171,Yes
177,15,5789.51,34.921,Yes
178,21,5824.44,20.6902,Yes
179,36,5845.13,25.3158,Yes
180,51,5870.44,35.4912,Yes
181,35,5957.14,22.1958,Yes
182,38,5979.33,20.9425,Yes
183,48,6000.27,25.289,Yes
184,53,6025.56,33.3412,Yes
185,45,6058.9,28.5658,Yes
186,34,6087.47,22.8186,Yes
187,41,6110.29,37.4979,Yes
188,7,6255.47,12.1247,Yes
189,0,6267.59,17.7576,Yes
190,8,6285.35,37.3692,Yes
191,15,6322.72,26.1684,Yes
192,20,6348.89,29.6114,Yes
193,17,6378.5,6.23332,Yes
194,6,6384.73,5.76314,Yes
195,10,6390.5,28.9874,Yes
196,16,6419.48,35.0908,Yes
197,45,6454.58,37.7856,Yes
198,49,6492.36,19.9326,Yes
199,54,6512.29,9.79315,Yes
200,47,6522.09,5.40307,Yes
201,18,6527.49,34.5107,Yes
202,52,6562,37.1427,Yes
203,55,6599.14,1.01347,Yes
204,60,6600.16,37.4705,Yes
205,63,6637.63,21.5772,Yes
206,58,6659.2,18.7079,Yes
207,43,6677.91,31.9933,Yes
208,32,6709.91,28.1877,Yes
209,29,6738.09,26.5612,Yes
210,62,6764.65,28.0356,Yes
211,59,6792.69,27.4153,Yes
212,46,6820.11,28.6462,Yes
213,65,6848.75,4.86626,Yes
214,48,6853.62,27.7118,Yes
215,50,6881.33,26.5568,Yes
216,5,7014.27,33.084,Yes
217,2,7047.35,25.1559,Yes
218,6,7072.51,20.4247,Yes
219,7,7092.93,19.7606,Yes
220,3,7112.69,18.3173,Yes
221,9,7131.01,25.4175,Yes
222,19,7156.43,15.217,Yes
223,12,7171.64,17.7858,Yes
224,14,7189.43,32.2847,Yes
225,26,7221.72,23.1073,Yes
226,18,7244.82,35.8884,Yes
227,30,7280.71,14.9431,Yes
228,47,7295.65,9.71478,Yes
229,52,7305.37,37.0249,Yes
230,55,7342.39,1.01347,Yes
231,49,7343.41,36.9172,Yes
232,60,7380.32,37.8172,Yes
233,64,7418.14,29.5417,Yes
234,57,7447.68,31.3034,Yes
235,61,7478.99,26.8977,Yes
236,36,7505.88,20.4613,Yes
237,21,7526.35,25.3158,Yes
238,24,7551.66,36.2683,Yes
239,25,7587.93,37.7144,Yes
240,29,7625.64,34.4129,Yes
241,32,7660.06,26.5612,Yes
242,34,7686.62,24.1186,Yes
243,5,7791.34,28.4016,Yes
244,2,7819.74,25.1559,Yes
245,6,7844.89,20.4247,Yes
246,7,7865.32,19.7606,Yes
247,9,7885.08,27.4469,Yes
248,1,7912.53,32.1671,Yes
249,15,7944.69,37.5532,Yes
250,29,7982.25,20.3634,Yes
251,36,8002.61,30.726,Yes
252,31,8033.34,24.6889,Yes
253,12,8058.03,21.1756,Yes
254,14,8079.2,32.2847,Yes
255,26,8111.49,23.1073,Yes
256,30,8134.59,29.6191,Yes
257,16,8164.21,15.383,Yes
258,47,8206.58,23.4931,Yes
259,54,8230.07,5.40307,Yes
260,42,8235.48,28.3136,Yes
261,35,8263.79,22.4056,Yes
262,45,8286.19,13.9017,Yes
263,41,8300.1,15.6651,Yes
264,13,8315.76,34.9598,Yes
265,43,8350.72,36.8657,Yes
266,58,8387.59,31.9933,Yes
267,48,8419.58,18.1429,Yes
268,53,8437.72,33.3412,Yes
269,0,8574.26,32.5574,Yes
270,1,8606.82,21.8373,Yes
271,15,8628.65,37.5532,Yes
272,20,8666.21,29.6114,Yes
273,11,8695.82,30.6378,Yes
274,7,8726.46,8.60552,Yes
275,14,8735.06,15.5907,Yes
276,4,8750.65,20.1518,Yes
277,2,8770.8,33.271,Yes
278,22,8804.07,21.082,Yes
279,27,8825.16,18.9968,Yes
280,28,8844.15,28.4676,Yes
281,35,8872.62,34.024,Yes
282,17,8906.64,3.80105,Yes
283,23,8910.45,34.402,Yes
284,25,8944.85,7.88649,Yes
285,21,8952.73,37.1126,Yes
286,24,8989.85,36.2683,Yes
287,29,9026.12,32.5616,Yes
288,32,9058.68,26.5612,Yes
289,39,9085.24,23.5905,Yes
290,31,9108.83,18.2545,Yes
291,19,9127.08,28.7631,Yes
292,18,9155.85,33.8656,Yes
293,26,9189.71,35.8884,Yes
294,30,9225.6,29.6191,Yes
295,5,9337.79,33.6283,Yes
296,22,9371.42,5.19127,Yes
297,27,9376.61,18.9968,Yes
298,28,9395.61,28.4676,Yes
299,35,9424.08,34.024,Yes
300,38,9458.1,20.9425,Yes
301,44,9479.04,36.7567,Yes
302,48,9515.8,32.8131,Yes
303,42,9548.61,19.2629,Yes
304,30,9567.88,29.8509,Yes
305,31,9597.73,18.3045,Yes
306,8,9616.03,27.1345,Yes
307,1,9643.17,19.7884,Yes
308,15,9662.95,37.5532,Yes
309,20,9700.51,29.6114,Yes
310,32,9730.12,16.32,Yes
311,40,9746.44,28.4555,Yes
312,36,9774.89,19.335,Yes
313,51,9794.23,35.4912,Yes
314,52,9844.2,33.0929,Yes
315,55,9877.29,1.01347,Yes
