PacketID,SourceNode,GenerationTime,ReceptionTime,Delay_s
17,0,2,762.291,760.291
26,8,2.01,762.291,760.281
34,18,2.02,762.291,760.271
42,47,2.03,762.291,760.261
50,52,2.04,762.291,760.251
58,57,2.05,762.291,760.241
66,61,2.06,762.291,760.231
72,72,2.07,762.291,760.221
77,86,2.08,762.291,760.211
91,3,2.19,762.291,760.101
1,9,0.8,762.291,761.491
0,1,0.8,762.291,761.491
2,15,0.8,762.291,761.491
3,24,0.8,762.291,761.491
7,36,0.8,762.291,761.491
5,31,0.8,762.291,761.491
18,5,2,762.291,760.291
27,6,2.01,762.291,760.281
35,14,2.02,762.291,760.271
43,30,2.03,762.291,760.261
51,49,2.04,762.291,760.251
59,53,2.05,762.291,760.241
67,55,2.06,762.291,760.231
73,60,2.07,762.291,760.221
78,71,2.08,762.291,760.211
81,77,2.09,762.291,760.201
92,12,2.2,762.291,760.091
19,7,2,762.291,760.291
28,26,2.01,762.291,760.281
36,64,2.02,762.291,760.271
44,75,2.03,762.291,760.261
52,83,2.04,762.291,760.251
60,90,2.05,762.291,760.241
87,19,2.16,762.291,760.131
22,10,2,762.291,760.291
31,16,2.01,762.291,760.281
39,45,2.02,762.291,760.271
47,63,2.03,762.291,760.261
55,74,2.04,762.291,760.251
63,92,2.05,762.291,760.241
69,94,2.06,762.291,760.231
89,42,2.17,762.291,760.121
4,27,0.8,762.291,761.491
20,2,2,762.291,760.291
29,4,2.01,762.291,760.281
37,22,2.02,762.291,760.271
45,38,2.03,762.291,760.261
53,48,2.04,762.291,760.251
61,50,2.05,762.291,760.241
88,28,2.16,762.291,760.131
21,20,2,762.291,760.291
30,21,2.01,762.291,760.281
38,25,2.02,762.291,760.271
46,29,2.03,762.291,760.261
54,70,2.04,762.291,760.251
62,80,2.05,762.291,760.241
68,85,2.06,762.291,760.231
74,96,2.07,762.291,760.221
90,40,2.18,762.291,760.111
6,32,0.8,762.291,761.491
8,46,0.8,762.291,761.491
23,13,2,762.291,760.291
32,33,2.01,762.291,760.281
40,34,2.02,762.291,760.271
48,41,2.03,762.291,760.261
56,43,2.04,762.291,760.251
64,58,2.05,762.291,760.241
70,73,2.06,762.291,760.231
75,79,2.07,762.291,760.221
79,82,2.08,762.291,760.211
82,89,2.09,762.291,760.201
84,97,2.1,762.291,760.191
86,99,2.11,762.291,760.181
94,59,2.22,762.291,760.071
24,65,2,762.291,760.291
85,66,2.11,762.291,760.181
11,68,0.8,762.291,761.491
13,76,0.8,762.291,761.491
14,87,0.8,762.291,761.491
15,91,0.8,762.291,761.491
10,67,0.8,762.291,761.491
96,2,774.8,1558.71,783.907
97,4,774.8,1558.71,783.907
127,10,776,1558.71,782.707
137,17,776.01,1558.71,782.697
143,42,776.02,1558.71,782.687
149,45,776.03,1558.71,782.677
155,54,776.04,1558.71,782.667
161,63,776.05,1558.71,782.657
167,74,776.06,1558.71,782.647
172,77,776.07,1558.71,782.637
177,84,776.08,1558.71,782.627
180,92,776.09,1558.71,782.617
192,16,776.2,1558.71,782.507
98,11,774.8,1558.71,783.907
101,23,774.8,1558.71,783.907
104,31,774.8,1558.71,783.907
126,0,776,1558.71,782.707
136,3,776.01,1558.71,782.697
142,9,776.02,1558.71,782.687
148,47,776.03,1558.71,782.677
154,52,776.04,1558.71,782.667
160,61,776.05,1558.71,782.657
166,67,776.06,1558.71,782.647
171,69,776.07,1558.71,782.637
176,83,776.08,1558.71,782.627
179,86,776.09,1558.71,782.617
182,93,776.1,1558.71,782.607
193,8,776.21,1558.71,782.497
95,1,774.8,1558.71,783.907
99,15,774.8,1558.71,783.907
107,36,774.8,1558.71,783.907
109,39,774.8,1558.71,783.907
105,32,774.8,1558.71,783.907
130,13,776,1558.71,782.707
140,33,776.01,1558.71,782.697
146,37,776.02,1558.71,782.687
152,43,776.03,1558.71,782.677
158,58,776.04,1558.71,782.667
164,59,776.05,1558.71,782.657
169,66,776.06,1558.71,782.647
174,73,776.07,1558.71,782.637
178,79,776.08,1558.71,782.627
181,82,776.09,1558.71,782.617
183,97,776.1,1558.71,782.607
188,99,776.11,1558.71,782.597
194,34,776.22,1558.71,782.487
131,76,776,1558.71,782.707
184,41,776.11,1558.71,782.597
111,46,774.8,1558.71,783.907
117,65,774.8,1558.71,783.907
100,22,774.8,1558.71,783.907
102,27,774.8,1558.71,783.907
103,28,774.8,1558.71,783.907
106,35,774.8,1558.71,783.907
108,38,774.8,1558.71,783.907
110,44,774.8,1558.71,783.907
112,48,774.8,1558.71,783.907
113,50,774.8,1558.71,783.907
128,18,776,1558.71,782.707
138,19,776.01,1558.71,782.697
144,57,776.02,1558.71,782.687
150,64,776.03,1558.71,782.677
156,72,776.04,1558.71,782.667
162,90,776.05,1558.71,782.657
168,95,776.06,1558.71,782.647
173,98,776.07,1558.71,782.637
190,26,776.18,1558.71,782.527
225,2,1550,2326.31,776.308
233,5,1550.01,2326.31,776.298
241,6,1550.02,2326.31,776.288
248,27,1550.03,2326.31,776.278
254,28,1550.04,2326.31,776.268
260,35,1550.05,2326.31,776.258
266,44,1550.06,2326.31,776.248
272,48,1550.07,2326.31,776.238
276,50,1550.08,2326.31,776.228
280,84,1550.09,2326.31,776.218
291,4,1550.2,2326.31,776.108
196,14,1548.8,2326.31,777.508
195,7,1548.8,2326.31,777.508
226,23,1550,2326.31,776.308
234,37,1550.01,2326.31,776.298
242,39,1550.02,2326.31,776.288
249,56,1550.03,2326.31,776.278
255,62,1550.04,2326.31,776.268
261,73,1550.05,2326.31,776.258
267,78,1550.06,2326.31,776.248
273,81,1550.07,2326.31,776.238
277,82,1550.08,2326.31,776.228
281,88,1550.09,2326.31,776.218
292,11,1550.2,2326.31,776.108
227,10,1550,2326.31,776.308
235,16,1550.01,2326.31,776.298
243,34,1550.02,2326.31,776.288
250,45,1550.03,2326.31,776.278
256,54,1550.04,2326.31,776.268
262,58,1550.05,2326.31,776.258
268,63,1550.06,2326.31,776.248
274,74,1550.07,2326.31,776.238
278,92,1550.08,2326.31,776.228
282,94,1550.09,2326.31,776.218
284,97,1550.1,2326.31,776.208
293,17,1550.21,2326.31,776.098
197,20,1548.8,2326.31,777.508
198,21,1548.8,2326.31,777.508
200,24,1548.8,2326.31,777.508
201,25,1548.8,2326.31,777.508
203,29,1548.8,2326.31,777.508
206,32,1548.8,2326.31,777.508
208,40,1548.8,2326.31,777.508
116,62,774.8,2326.31,1551.51
205,31,1548.8,2326.31,777.508
202,26,1548.8,2326.31,777.508
129,5,776,2326.31,1550.31
139,12,776.01,2326.31,1550.3
145,14,776.02,2326.31,1550.29
151,49,776.03,2326.31,1550.28
157,55,776.04,2326.31,1550.27
163,71,776.05,2326.31,1550.26
189,30,776.16,2326.31,1550.15
204,30,1548.8,2326.31,777.508
228,0,1550,2326.31,776.308
236,3,1550.01,2326.31,776.298
244,8,1550.02,2326.31,776.288
251,18,1550.03,2326.31,776.278
257,19,1550.04,2326.31,776.268
263,52,1550.05,2326.31,776.258
269,57,1550.06,2326.31,776.248
275,61,1550.07,2326.31,776.238
279,72,1550.08,2326.31,776.228
283,83,1550.09,2326.31,776.218
285,86,1550.1,2326.31,776.208
286,95,1550.11,2326.31,776.198
294,47,1550.22,2326.31,776.088
212,64,1548.8,2326.31,777.508
209,49,1548.8,2326.31,777.508
229,12,1550,2326.31,776.308
