Round,EnergyConsumed,AvgResidualEnergy,TotalNetworkEnergy
1,0.0225064,0.499775,49.9775
2,0.0969572,0.498805,49.8805
3,0.0787763,0.498018,49.8018
4,0.0704123,0.497313,49.7313
5,0.0758655,0.496555,49.6555
6,0.053981,0.496015,49.6015
7,0.0860325,0.495155,49.5155
8,0.0670842,0.494484,49.4484
9,0.0901509,0.493582,49.3582
10,0.0918958,0.492663,49.2663
11,0.0606356,0.492057,49.2057
12,0.0671927,0.491385,49.1385
13,0.0539271,0.490846,49.0846
14,0.0910398,0.489935,48.9935
15,0.0890311,0.489045,48.9045
16,0.0851968,0.488193,48.8193
17,0.0852468,0.487341,48.7341
18,0.0513281,0.486827,48.6827
19,0.0524124,0.486303,48.6303
20,0.0903028,0.4854,48.54
21,0.100117,0.484399,48.4399
22,0.0671595,0.483727,48.3727
23,0.0505653,0.483222,48.3222
24,0.0501017,0.482721,48.2721
25,0.0901977,0.481819,48.1819
26,0.0912084,0.480907,48.0907
27,0.097826,0.479928,47.9928
28,0.0799874,0.479129,47.9129
29,0.047699,0.478652,47.8652
30,0.0907582,0.477744,47.7744
31,0.113224,0.476612,47.6612
32,0.0897555,0.475714,47.5714
33,0.0528394,0.475186,47.5186
34,0.100734,0.474179,47.4179
35,0.0669136,0.473509,47.3509
36,0.0819018,0.47269,47.269
37,0.0617501,0.472073,47.2073
38,0.0607101,0.471466,47.1466
39,0.0865559,0.4706,47.06
40,0.0949161,0.469651,46.9651
41,0.0698955,0.468952,46.8952
42,0.0889881,0.468062,46.8062
43,0.0811044,0.467251,46.7251
44,0.0779188,0.466472,46.6472
45,0.063062,0.465841,46.5841
46,0.058818,0.465253,46.5253
47,0.0985642,0.464268,46.4268
48,0.0868002,0.4634,46.34
49,0.0878151,0.462521,46.2521
50,0.0480952,0.46204,46.204
51,0.0588371,0.461452,46.1452
52,0.0620433,0.460832,46.0832
53,0.0740782,0.460091,46.0091
54,0.0896732,0.459194,45.9194
55,0.0820111,0.458374,45.8374
56,0.0792206,0.457582,45.7582
57,0.0879701,0.456702,45.6702
58,0.0812216,0.45589,45.589
59,0.063014,0.45526,45.526
60,0.0794495,0.454465,45.4465
61,0.0759125,0.453706,45.3706
62,0.0670425,0.453036,45.3036
63,0.0721513,0.452314,45.2314
64,0.0961638,0.451353,45.1353
65,0.0649933,0.450703,45.0703
66,0.0645307,0.450057,45.0057
67,0.0678327,0.449379,44.9379
68,0.0865754,0.448513,44.8513
69,0.104365,0.44747,44.747
70,0.0780377,0.446689,44.6689
71,0.0792244,0.445897,44.5897
72,0.0720554,0.445176,44.5176
73,0.0632134,0.444544,44.4544
74,0.0735589,0.443809,44.3809
75,0.0549699,0.443259,44.3259
76,0.068954,0.442569,44.2569
77,0.0977637,0.441592,44.1592
78,0.0901253,0.440691,44.0691
79,0.0837313,0.439853,43.9853
80,0.0843758,0.439009,43.9009
81,0.0683728,0.438326,43.8326
82,0.0844723,0.437481,43.7481
83,0.0521725,0.436959,43.6959
84,0.0556961,0.436402,43.6402
85,0.048523,0.435917,43.5917
86,0.0542333,0.435375,43.5375
87,0.123649,0.434138,43.4138
88,0.0831706,0.433307,43.3307
89,0.0708996,0.432598,43.2598
90,0.0824341,0.431773,43.1773
91,0.0922372,0.430851,43.0851
92,0.0860493,0.42999,42.999
93,0.0763311,0.429227,42.9227
94,0.0808356,0.428419,42.8419
95,0.0587943,0.427831,42.7831
96,0.0699045,0.427132,42.7132
97,0.0885542,0.426246,42.6246
98,0.0703265,0.425543,42.5543
99,0.0814095,0.424729,42.4729
100,0.0824686,0.423904,42.3904
101,0.0703952,0.4232,42.32
102,0.0960907,0.422239,42.2239
103,0.0655819,0.421583,42.1583
104,0.067787,0.420906,42.0906
105,0.0641079,0.420264,42.0264
106,0.0784974,0.41948,41.948
107,0.0604411,0.418875,41.8875
108,0.0741555,0.418134,41.8134
109,0.0683456,0.41745,41.745
110,0.107258,0.416378,41.6378
111,0.0979284,0.415398,41.5398
112,0.0714151,0.414684,41.4684
113,0.0527942,0.414156,41.4156
114,0.0645526,0.413511,41.3511
115,0.0917656,0.412593,41.2593
116,0.0813963,0.411779,41.1779
117,0.0936441,0.410843,41.0843
118,0.0527013,0.410316,41.0316
119,0.0956303,0.409359,40.9359
120,0.0994611,0.408365,40.8365
121,0.0587533,0.407777,40.7777
122,0.0838097,0.406939,40.6939
123,0.0968736,0.40597,40.597
