Round,PacketsGenerated,PacketsReceived,PDR
1,95,82,0.863158
2,100,82,0.82
3,100,71,0.71
4,96,81,0.84375
5,100,64,0.64
6,100,81,0.81
7,100,71,0.71
8,99,66,0.666667
9,100,69,0.69
10,100,77,0.77
11,99,83,0.838384
12,99,84,0.848485
13,98,86,0.877551
14,97,82,0.845361
15,97,78,0.804124
16,98,64,0.653061
17,99,47,0.474747
18,100,79,0.79
19,100,62,0.62
20,99,91,0.919192
21,98,80,0.816327
22,100,85,0.85
23,99,86,0.868687
24,98,86,0.877551
25,98,89,0.908163
26,99,84,0.848485
27,99,86,0.868687
28,100,63,0.63
29,99,75,0.757576
30,94,90,0.957447
31,99,85,0.858586
32,100,64,0.64
33,96,80,0.833333
34,100,79,0.79
35,98,77,0.785714
36,100,85,0.85
37,99,49,0.494949
38,99,85,0.858586
39,99,74,0.747475
40,100,83,0.83
41,100,91,0.91
42,97,87,0.896907
43,99,76,0.767677
44,99,49,0.494949
45,99,61,0.616162
46,99,76,0.767677
47,98,73,0.744898
48,97,58,0.597938
49,100,70,0.7
50,100,76,0.76
51,100,69,0.69
52,99,64,0.646465
53,98,84,0.857143
54,98,77,0.785714
55,100,78,0.78
56,98,73,0.744898
57,98,79,0.806122
58,99,70,0.707071
59,100,91,0.91
60,98,51,0.520408
61,100,82,0.82
62,99,87,0.878788
63,97,77,0.793814
64,100,76,0.76
65,99,84,0.848485
66,99,68,0.686869
67,99,78,0.787879
68,96,76,0.791667
69,100,84,0.84
70,99,76,0.767677
71,99,65,0.656566
72,99,58,0.585859
73,99,85,0.858586
74,100,47,0.47
75,98,72,0.734694
76,98,80,0.816327
77,97,84,0.865979
78,97,73,0.752577
79,97,72,0.742268
80,99,77,0.777778
81,96,72,0.75
82,100,61,0.61
83,100,49,0.49
84,100,78,0.78
85,99,80,0.808081
86,92,84,0.913043
87,99,85,0.858586
88,100,80,0.8
89,99,68,0.686869
90,99,87,0.878788
91,99,74,0.747475
92,98,77,0.785714
93,100,54,0.54
94,100,67,0.67
95,100,79,0.79
96,98,73,0.744898
97,99,70,0.707071
98,99,79,0.79798
99,99,74,0.747475
100,99,70,0.707071
101,98,72,0.734694
102,99,69,0.69697
103,99,61,0.616162
104,100,76,0.76
105,100,89,0.89
106,100,59,0.59
107,100,71,0.71
108,100,87,0.87
109,96,86,0.895833
110,97,81,0.835052
111,100,79,0.79
112,99,62,0.626263
113,99,69,0.69697
114,98,84,0.857143
115,100,79,0.79
116,94,77,0.819149
117,100,59,0.59
118,98,83,0.846939
119,99,85,0.858586
120,100,88,0.88
121,100,79,0.79
122,96,85,0.885417
123,100,73,0.73
124,100,71,0.71
125,98,80,0.816327
126,99,72,0.727273
127,99,84,0.848485
128,98,54,0.55102
129,100,76,0.76
130,100,67,0.67
131,99,50,0.505051
132,99,75,0.757576
133,99,72,0.727273
134,98,64,0.653061
135,100,89,0.89
136,98,78,0.795918
137,99,87,0.878788
138,99,82,0.828283
139,98,92,0.938776
140,100,82,0.82
141,100,70,0.7
142,99,82,0.828283
143,99,75,0.757576
144,99,94,0.949495
145,98,85,0.867347
146,100,70,0.7
147,100,74,0.74
148,99,76,0.767677
149,100,69,0.69
150,94,87,0.925532
151,97,71,0.731959
152,100,70,0.7
153,97,61,0.628866
154,99,75,0.757576
155,98,59,0.602041
156,98,81,0.826531
157,100,83,0.83
158,96,70,0.729167
159,99,82,0.828283
160,99,89,0.89899
161,100,83,0.83
162,100,92,0.92
163,99,84,0.848485
164,97,90,0.927835
165,98,91,0.928571
166,100,77,0.77
167,99,89,0.89899
168,98,86,0.877551
169,99,83,0.838384
170,100,59,0.59
171,100,88,0.88
172,96,87,0.90625
173,97,66,0.680412
174,100,71,0.71
175,100,62,0.62
176,99,74,0.747475
177,98,64,0.653061
178,100,57,0.57
179,98,70,0.714286
180,100,79,0.79
181,100,56,0.56
182,99,85,0.858586
183,98,87,0.887755
184,99,71,0.717172
185,100,85,0.85
186,98,82,0.836735
187,99,83,0.838384
188,99,92,0.929293
189,98,76,0.77551
190,99,83,0.838384
191,100,76,0.76
192,100,52,0.52
193,99,85,0.858586
194,99,81,0.818182
195,99,64,0.646465
196,99,72,0.727273
197,93,70,0.752688
198,98,63,0.642857
199,97,88,0.907216
200,98,72,0.734694
201,98,73,0.744898
202,100,67,0.67
203,100,57,0.57
204,99,76,0.767677
205,95,84,0.884211
206,99,74,0.747475
207,98,78,0.795918
208,100,65,0.65
209,100,78,0.78
210,100,54,0.54
211,100,91,0.91
212,99,70,0.707071
213,100,84,0.84
214,100,59,0.59
215,98,89,0.908163
216,100,99,0.99
217,98,83,0.846939
218,100,92,0.92
219,99,95,0.959596
220,97,95,0.979381
221,96,96,1
222,97,87,0.896907
223,98,63,0.642857
224,98,64,0.653061
225,99,69,0.69697
226,95,79,0.831579
227,100,71,0.71
228,100,70,0.7
229,97,80,0.824742
230,99,81,0.818182
231,97,76,0.783505
232,98,89,0.908163
233,100,61,0.61
234,99,82,0.828283
235,100,80,0.8
236,100,62,0.62
237,99,89,0.89899
238,100,91,0.91
239,99,79,0.79798
240,98,79,0.806122
241,98,53,0.540816
242,99,78,0.787879
243,99,74,0.747475
244,100,63,0.63
245,95,89,0.936842
246,99,88,0.888889
247,99,84,0.848485
248,100,61,0.61
249,97,81,0.835052
250,96,83,0.864583
251,100,53,0.53
252,98,64,0.653061
253,98,71,0.72449
254,100,70,0.7
255,99,76,0.767677
256,99,69,0.69697
257,99,96,0.969697
258,100,73,0.73
259,100,83,0.83
260,100,80,0.8
261,97,78,0.804124
262,98,74,0.755102
263,100,82,0.82
264,99,63,0.636364
265,97,70,0.721649
266,98,67,0.683673
267,99,80,0.808081
268,100,94,0.94
269,100,76,0.76
270,98,93,0.94898
271,99,81,0.818182
272,100,75,0.75
273,98,98,1
274,99,74,0.747475
275,100,81,0.81
276,100,84,0.84
277,100,64,0.64
278,100,66,0.66
279,99,87,0.878788
280,100,80,0.8
281,100,80,0.8
282,99,77,0.777778
283,99,72,0.727273
284,99,91,0.919192
285,99,83,0.838384
286,100,76,0.76
287,99,83,0.838384
288,100,56,0.56
289,100,77,0.77
290,100,76,0.76
291,98,58,0.591837
292,99,78,0.787879
293,96,74,0.770833
294,98,84,0.857143
295,99,73,0.737374
296,100,50,0.5
297,98,80,0.816327
298,98,68,0.693878
299,100,44,0.44
300,99,70,0.707071
301,99,70,0.707071
302,98,61,0.622449
303,100,63,0.63
304,98,68,0.693878
305,98,68,0.693878
306,97,82,0.845361
307,97,82,0.845361
308,99,80,0.808081
309,100,89,0.89
310,96,80,0.833333
311,95,74,0.778947
312,99,59,0.59596
