Round,Time,AliveNodes,DeadNodes
1,774,100,0
2,1548,100,0
3,2322,100,0
4,3096,100,0
5,3870,100,0
6,4644,100,0
7,5418,100,0
8,6192,100,0
9,6966,100,0
10,7740,100,0
11,8514,100,0
12,9288,100,0
13,10062,100,0
14,10836,100,0
15,11610,100,0
16,12384,100,0
17,13158,100,0
18,13932,100,0
19,14706,100,0
20,15480,100,0
21,16254,100,0
22,17028,100,0
23,17802,100,0
24,18576,100,0
25,19350,100,0
26,20124,100,0
27,20898,100,0
28,21672,100,0
29,22446,100,0
30,23220,100,0
31,23994,100,0
32,24768,100,0
33,25542,100,0
34,26316,100,0
35,27090,100,0
36,27864,100,0
37,28638,100,0
38,29412,100,0
39,30186,100,0
40,30960,100,0
41,31734,100,0
42,32508,100,0
43,33282,100,0
44,34056,100,0
45,34830,100,0
46,35604,100,0
47,36378,100,0
48,37152,100,0
49,37926,100,0
50,38700,100,0
51,39474,100,0
52,40248,100,0
53,41022,100,0
54,41796,100,0
55,42570,100,0
56,43344,100,0
57,44118,100,0
58,44892,100,0
59,45666,100,0
60,46440,100,0
61,47214,100,0
62,47988,100,0
63,48762,100,0
64,49536,100,0
65,50310,100,0
66,51084,100,0
67,51858,100,0
68,52632,100,0
69,53406,100,0
70,54180,100,0
71,54954,100,0
72,55728,100,0
73,56502,100,0
74,57276,100,0
75,58050,100,0
76,58824,100,0
77,59598,100,0
78,60372,100,0
79,61146,100,0
80,61920,100,0
81,62694,100,0
82,63468,100,0
83,64242,100,0
84,65016,100,0
85,65790,100,0
86,66564,100,0
87,67338,100,0
88,68112,100,0
89,68886,100,0
90,69660,100,0
91,70434,100,0
92,71208,100,0
93,71982,100,0
94,72756,100,0
95,73530,100,0
96,74304,100,0
97,75078,100,0
98,75852,100,0
99,76626,100,0
100,77400,100,0
101,78174,100,0
102,78948,100,0
103,79722,100,0
104,80496,100,0
105,81270,100,0
106,82044,100,0
107,82818,100,0
108,83592,100,0
109,84366,100,0
110,85140,100,0
111,85914,100,0
112,86688,100,0
113,87462,100,0
114,88236,100,0
115,89010,100,0
116,89784,100,0
117,90558,100,0
118,91332,100,0
119,92106,100,0
120,92880,100,0
121,93654,100,0
122,94428,100,0
123,95202,100,0
124,95976,100,0
125,96750,100,0
126,97524,100,0
127,98298,100,0
128,99072,100,0
129,99846,100,0
130,100620,100,0
131,101394,100,0
132,102168,100,0
133,102942,100,0
134,103716,100,0
135,104490,100,0
136,105264,100,0
137,106038,100,0
138,106812,100,0
139,107586,100,0
140,108360,100,0
141,109134,100,0
142,109908,100,0
143,110682,100,0
144,111456,100,0
145,112230,100,0
146,113004,100,0
147,113778,100,0
148,114552,100,0
149,115326,100,0
150,116100,100,0
151,116874,100,0
152,117648,100,0
153,118422,100,0
154,119196,100,0
155,119970,100,0
156,120744,100,0
157,121518,100,0
158,122292,100,0
159,123066,100,0
160,123840,100,0
161,124614,100,0
162,125388,100,0
163,126162,100,0
164,126936,100,0
165,127710,100,0
166,128484,100,0
167,129258,100,0
168,130032,100,0
169,130806,100,0
170,131580,100,0
171,132354,100,0
172,133128,100,0
173,133902,100,0
174,134676,100,0
175,135450,100,0
176,136224,100,0
177,136998,100,0
178,137772,100,0
179,138546,100,0
180,139320,100,0
181,140094,100,0
182,140868,100,0
183,141642,100,0
184,142416,100,0
185,143190,100,0
186,143964,100,0
187,144738,100,0
188,145512,100,0
189,146286,100,0
190,147060,100,0
191,147834,100,0
192,148608,100,0
193,149382,100,0
194,150156,100,0
195,150930,100,0
196,151704,100,0
197,152478,100,0
198,153252,100,0
199,154026,100,0
200,154800,100,0
201,155574,100,0
202,156348,100,0
203,157122,100,0
204,157896,100,0
205,158670,100,0
206,159444,100,0
207,160218,100,0
208,160992,100,0
209,161766,100,0
210,162540,100,0
211,163314,100,0
212,164088,100,0
213,164862,100,0
214,165636,100,0
215,166410,100,0
216,167184,100,0
217,167958,100,0
218,168732,100,0
219,169506,100,0
220,170280,100,0
221,171054,100,0
222,171828,100,0
223,172602,100,0
224,173376,100,0
225,174150,100,0
226,174924,100,0
227,175698,100,0
228,176472,100,0
229,177246,100,0
230,178020,100,0
231,178794,100,0
232,179568,100,0
233,180342,100,0
234,181116,100,0
235,181890,100,0
236,182664,100,0
237,183438,100,0
238,184212,100,0
239,184986,100,0
240,185760,100,0
241,186534,100,0
242,187308,100,0
243,188082,100,0
244,188856,100,0
245,189630,100,0
246,190404,100,0
247,191178,100,0
248,191952,100,0
249,192726,100,0
250,193500,100,0
251,194274,100,0
252,195048,100,0
253,195822,100,0
254,196596,100,0
255,197370,100,0
256,198144,100,0
257,198918,100,0
258,199692,100,0
259,200466,100,0
260,201240,100,0
261,202014,100,0
262,202788,100,0
263,203562,100,0
264,204336,100,0
265,205110,100,0
266,205884,100,0
267,206658,100,0
268,207432,100,0
269,208206,100,0
270,208980,100,0
271,209754,100,0
272,210528,100,0
273,211302,100,0
274,212076,100,0
275,212850,100,0
276,213624,100,0
277,214398,100,0
278,215172,100,0
279,215946,100,0
280,216720,100,0
281,217494,100,0
282,218268,100,0
283,219042,100,0
284,219816,100,0
285,220590,100,0
286,221364,100,0
287,222138,100,0
288,222912,100,0
289,223686,100,0
290,224460,100,0
291,225234,100,0
292,226008,100,0
293,226782,100,0
294,227556,100,0
295,228330,100,0
296,229104,100,0
297,229878,100,0
298,230652,100,0
299,231426,100,0
300,232200,100,0
301,232974,100,0
302,233748,100,0
303,234522,100,0
304,235296,100,0
305,236070,100,0
306,236844,100,0
307,237618,100,0
308,238392,100,0
309,239166,100,0
310,239940,100,0
311,240714,100,0
312,241488,100,0
313,242262,100,0
314,243036,100,0
315,243810,100,0
316,244584,100,0
317,245358,100,0
318,246132,100,0
319,246906,100,0
320,247680,100,0
321,248454,100,0
322,249228,100,0
323,250002,100,0
324,250776,100,0
325,251550,100,0
326,252324,100,0
327,253098,100,0
328,253872,100,0
329,254646,100,0
330,255420,100,0
331,256194,100,0
332,256968,100,0
333,257742,100,0
334,258516,100,0
335,259290,100,0
336,260064,100,0
337,260838,100,0
338,261612,100,0
339,262386,100,0
340,263160,100,0
341,263934,100,0
342,264708,100,0
343,265482,100,0
344,266256,100,0
345,267030,100,0
346,267804,100,0
347,268578,100,0
348,269352,100,0
349,270126,100,0
350,270900,100,0
351,271674,100,0
352,272448,100,0
353,273222,100,0
354,273996,100,0
355,274770,100,0
356,275544,100,0
357,276318,100,0
358,277092,100,0
359,277866,100,0
360,278640,100,0
361,279414,100,0
362,280188,100,0
363,280962,100,0
364,281736,100,0
365,282510,100,0
366,283284,100,0
367,284058,100,0
368,284832,100,0
369,285606,100,0
370,286380,100,0
371,287154,100,0
372,287928,100,0
373,288702,100,0
374,289476,100,0
375,290250,100,0
376,291024,100,0
377,291798,100,0
378,292572,100,0
379,293346,100,0
380,294120,100,0
381,294894,100,0
382,295668,100,0
383,296442,100,0
384,297216,100,0
385,297990,100,0
386,298764,100,0
387,299538,100,0
388,300312,100,0
389,301086,100,0
390,301860,100,0
391,302634,100,0
392,303408,100,0
393,304182,100,0
394,304956,100,0
395,305730,100,0
396,306504,100,0
397,307278,100,0
398,308052,100,0
399,308826,100,0
400,309600,100,0
401,310374,100,0
402,311148,100,0
403,311922,100,0
404,312696,100,0
405,313470,100,0
406,314244,100,0
407,315018,100,0
408,315792,100,0
409,316566,100,0
410,317340,100,0
411,318114,100,0
412,318888,100,0
413,319662,100,0
414,320436,100,0
415,321210,100,0
416,321984,100,0
417,322758,100,0
418,323532,100,0
419,324306,100,0
420,325080,100,0
421,325854,100,0
422,326628,100,0
423,327402,100,0
424,328176,100,0
425,328950,100,0
426,329724,100,0
427,330498,100,0
428,331272,100,0
429,332046,100,0
430,332820,100,0
431,333594,100,0
432,334368,100,0
433,335142,100,0
434,335916,100,0
435,336690,100,0
436,337464,100,0
437,338238,100,0
438,339012,100,0
439,339786,100,0
440,340560,100,0
441,341334,100,0
442,342108,100,0
443,342882,100,0
444,343656,100,0
445,344430,100,0
446,345204,100,0
447,345978,100,0
448,346752,100,0
449,347526,100,0
450,348300,100,0
451,349074,100,0
452,349848,100,0
453,350622,100,0
454,351396,100,0
455,352170,100,0
456,352944,100,0
457,353718,100,0
458,354492,100,0
459,355266,100,0
460,356040,100,0
461,356814,100,0
462,357588,100,0
463,358362,100,0
464,359136,100,0
465,359910,100,0
466,360684,100,0
467,361458,100,0
468,362232,100,0
469,363006,100,0
470,363780,100,0
471,364554,100,0
472,365328,100,0
473,366102,100,0
474,366876,100,0
475,367650,100,0
476,368424,100,0
477,369198,100,0
478,369972,100,0
479,370746,100,0
480,371520,100,0
481,372294,100,0
482,373068,100,0
483,373842,100,0
484,374616,100,0
485,375390,100,0
486,376164,100,0
487,376938,100,0
488,377712,100,0
489,378486,100,0
490,379260,100,0
491,380034,100,0
492,380808,100,0
493,381582,100,0
494,382356,100,0
495,383130,100,0
496,383904,100,0
497,384678,100,0
498,385452,100,0
499,386226,100,0
500,387000,100,0
501,387774,100,0
502,388548,100,0
503,389322,100,0
504,390096,100,0
505,390870,100,0
506,391644,100,0
507,392418,100,0
508,393192,100,0
509,393966,100,0
510,394740,100,0
511,395514,100,0
512,396288,100,0
513,397062,100,0
