Time,Throughput_bps,Throughput_kbps
774,209.302,0.209302
1548,0,0
2322,173.127,0.173127
3096,211.886,0.211886
3870,155.039,0.155039
4644,108.527,0.108527
5418,343.669,0.343669
6192,167.959,0.167959
6966,304.91,0.30491
7740,0,0
8514,369.509,0.369509
9288,0,0
10062,95.6072,0.0956072
10836,338.501,0.338501
11610,470.284,0.470284
12384,180.879,0.180879
13158,108.527,0.108527
13932,0,0
14706,113.695,0.113695
15480,196.382,0.196382
16254,480.62,0.48062
17028,121.447,0.121447
17802,0,0
18576,100.775,0.100775
19350,183.463,0.183463
20124,731.266,0.731266
20898,240.31,0.24031
21672,95.6072,0.0956072
22446,175.711,0.175711
23220,0,0
23994,519.38,0.51938
24768,77.5194,0.0775194
25542,0,0
26316,229.974,0.229974
27090,416.021,0.416021
27864,222.222,0.222222
28638,0,0
29412,307.494,0.307494
30186,253.23,0.25323
30960,0,0
31734,211.886,0.211886
32508,217.054,0.217054
33282,245.478,0.245478
34056,196.382,0.196382
34830,248.062,0.248062
35604,245.478,0.245478
36378,214.47,0.21447
37152,124.031,0.124031
37926,142.119,0.142119
38700,111.111,0.111111
39474,0,0
40248,315.245,0.315245
41022,214.47,0.21447
41796,0,0
42570,514.212,0.514212
43344,178.295,0.178295
44118,0,0
44892,346.253,0.346253
45666,0,0
46440,421.189,0.421189
47214,0,0
47988,374.677,0.374677
48762,0,0
49536,250.646,0.250646
50310,201.55,0.20155
51084,167.959,0.167959
51858,416.021,0.416021
52632,155.039,0.155039
53406,224.806,0.224806
54180,299.742,0.299742
54954,170.543,0.170543
55728,0,0
56502,315.245,0.315245
57276,136.951,0.136951
58050,121.447,0.121447
58824,263.566,0.263566
59598,0,0
60372,366.925,0.366925
61146,0,0
61920,183.463,0.183463
62694,493.54,0.49354
63468,121.447,0.121447
64242,64.5995,0.0645995
65016,167.959,0.167959
65790,0,0
66564,149.871,0.149871
67338,268.734,0.268734
68112,478.036,0.478036
68886,0,0
69660,183.463,0.183463
70434,452.196,0.452196
71208,209.302,0.209302
71982,0,0
72756,116.279,0.116279
73530,95.6072,0.0956072
74304,457.364,0.457364
75078,0,0
75852,147.287,0.147287
76626,418.605,0.418605
77400,0,0
78174,204.134,0.204134
78948,403.101,0.403101
79722,0,0
80496,131.783,0.131783
81270,416.021,0.416021
82044,98.1912,0.0981912
82818,180.879,0.180879
83592,219.638,0.219638
84366,0,0
85140,545.22,0.54522
85914,0,0
86688,142.119,0.142119
87462,235.142,0.235142
88236,0,0
89010,519.38,0.51938
89784,0,0
90558,198.966,0.198966
91332,279.07,0.27907
92106,258.398,0.258398
92880,160.207,0.160207
93654,281.654,0.281654
94428,322.997,0.322997
95202,160.207,0.160207
95976,0,0
96750,400.517,0.400517
97524,183.463,0.183463
98298,0,0
99072,299.742,0.299742
99846,167.959,0.167959
100620,260.982,0.260982
101394,111.111,0.111111
102168,142.119,0.142119
102942,0,0
103716,131.783,0.131783
104490,149.871,0.149871
105264,188.63,0.18863
106038,276.486,0.276486
106812,235.142,0.235142
107586,552.972,0.552972
108360,0,0
109134,149.871,0.149871
109908,139.535,0.139535
110682,400.517,0.400517
111456,0,0
112230,583.979,0.583979
113004,85.2713,0.0852713
113778,0,0
114552,322.997,0.322997
115326,0,0
116100,196.382,0.196382
116874,279.07,0.27907
117648,162.791,0.162791
118422,351.421,0.351421
119196,227.39,0.22739
119970,152.455,0.152455
120744,0,0
121518,160.207,0.160207
122292,227.39,0.22739
123066,149.871,0.149871
123840,467.7,0.4677
124614,175.711,0.175711
125388,229.974,0.229974
126162,0,0
126936,167.959,0.167959
127710,666.667,0.666667
128484,0,0
129258,273.902,0.273902
130032,147.287,0.147287
130806,136.951,0.136951
131580,0,0
132354,276.486,0.276486
133128,591.731,0.591731
133902,209.302,0.209302
134676,0,0
135450,170.543,0.170543
136224,126.615,0.126615
136998,180.879,0.180879
137772,144.703,0.144703
138546,286.822,0.286822
139320,253.23,0.25323
140094,124.031,0.124031
140868,0,0
141642,211.886,0.211886
142416,271.318,0.271318
143190,276.486,0.276486
143964,372.093,0.372093
144738,0,0
145512,385.013,0.385013
146286,284.238,0.284238
147060,0,0
147834,204.134,0.204134
148608,139.535,0.139535
149382,116.279,0.116279
150156,480.62,0.48062
150930,0,0
151704,248.062,0.248062
152478,263.566,0.263566
153252,0,0
154026,204.134,0.204134
154800,235.142,0.235142
155574,167.959,0.167959
156348,338.501,0.338501
157122,100.775,0.100775
157896,116.279,0.116279
158670,245.478,0.245478
159444,0,0
160218,255.814,0.255814
160992,408.269,0.408269
161766,147.287,0.147287
162540,0,0
163314,152.455,0.152455
164088,325.581,0.325581
164862,186.047,0.186047
165636,0,0
166410,462.532,0.462532
167184,310.078,0.310078
167958,0,0
168732,260.982,0.260982
169506,144.703,0.144703
170280,196.382,0.196382
171054,594.315,0.594315
171828,260.982,0.260982
172602,178.295,0.178295
173376,131.783,0.131783
174150,105.943,0.105943
174924,0,0
175698,325.581,0.325581
176472,103.359,0.103359
177246,116.279,0.116279
178020,100.775,0.100775
178794,263.566,0.263566
179568,509.044,0.509044
180342,180.879,0.180879
181116,0,0
181890,454.78,0.45478
182664,87.8553,0.0878553
183438,196.382,0.196382
184212,245.478,0.245478
184986,222.222,0.222222
185760,142.119,0.142119
186534,0,0
187308,457.364,0.457364
188082,0,0
188856,232.558,0.232558
189630,0,0
190404,322.997,0.322997
191178,480.62,0.48062
191952,72.3514,0.0723514
192726,0,0
193500,222.222,0.222222
194274,408.269,0.408269
195048,0,0
195822,186.047,0.186047
196596,335.917,0.335917
197370,183.463,0.183463
198144,0,0
198918,193.798,0.193798
199692,260.982,0.260982
200466,170.543,0.170543
201240,418.605,0.418605
202014,253.23,0.25323
202788,124.031,0.124031
203562,0,0
204336,403.101,0.403101
205110,248.062,0.248062
205884,0,0
206658,131.783,0.131783
207432,310.078,0.310078
208206,217.054,0.217054
208980,242.894,0.242894
209754,0,0
210528,173.127,0.173127
211302,258.398,0.258398
212076,475.452,0.475452
212850,0,0
213624,405.685,0.405685
214398,0,0
215172,377.261,0.377261
215946,188.63,0.18863
216720,149.871,0.149871
217494,0,0
218268,346.253,0.346253
219042,315.245,0.315245
219816,0,0
220590,447.028,0.447028
221364,170.543,0.170543
222138,253.23,0.25323
222912,72.3514,0.0723514
