Time,X,Y,Z,Event
35,250,250,30,ENTER
60.3304,47.6539,402.377,30,WAYPOINT
60.3304,151.166,499.52,0,CH_3
85.4799,269.408,423.155,0,CH_9
110.897,360.162,466.279,0,CH_1
143.065,335.234,456.981,0,CH_15
180.618,438.195,432.51,0,CH_24
212.091,343.25,391.657,0,CH_36
243.891,210.554,335.827,0,CH_31
268.58,102.226,221.726,0,CH_12
289.755,99.0507,389.195,0,CH_19
307.541,140.222,223.067,0,CH_42
323.876,19.5274,136.525,0,CH_27
347.462,84.9152,29.6216,0,CH_28
419.858,364.006,367.533,30,WAYPOINT
419.858,494.431,330.318,0,CH_40
446.368,478.945,205.894,0,CH_32
474.823,454.298,48.0861,0,CH_46
495.271,349.879,115.508,0,CH_59
523.917,331.897,69.9831,0,CH_66
560.561,472.297,14.9007,0,CH_68
583.554,463.754,180.631,0,CH_76
601.911,482.42,5.8346,0,CH_87
616.141,474.745,32.0337,0,CH_91
702.576,117.181,364.279,30,WAYPOINT
702.576,257.445,396.202,0,CH_67
762.291,-100,250,0,BASE
809,250,250,30,ENTER
825.048,171.673,109.933,30,WAYPOINT
825.048,0.0571905,64.0622,0,CH_2
838.326,73.3779,118.044,0,CH_4
871.597,208.652,228.602,0,CH_16
886.351,342.61,262.274,0,CH_11
912.34,346.161,259.076,0,CH_23
950.256,210.554,335.827,0,CH_31
971.875,198.384,467.77,0,CH_8
999.009,360.162,466.279,0,CH_1
1018.8,335.234,456.981,0,CH_15
1056.35,343.25,391.657,0,CH_36
1091.92,375.072,312.015,0,CH_39
1125.75,478.945,205.894,0,CH_32
1149.34,345.939,144.815,0,CH_34
1173.46,374.083,149.248,0,CH_41
1210.96,454.298,48.0861,0,CH_46
1238.74,267.948,22.6729,0,CH_65
1243.61,156.712,46.4004,0,CH_22
1273.95,19.5274,136.525,0,CH_27
1292.95,84.9152,29.6216,0,CH_28
1321.42,157.758,71.0601,0,CH_35
1355.44,9.14414,17.0857,0,CH_38
1376.39,51.613,36.6821,0,CH_44
1413.14,143.888,59.7452,0,CH_48
1445.96,9.68348,41.8115,0,CH_50
1496.96,9.65938,284.429,30,WAYPOINT
1496.96,42.5221,414.802,0,CH_26
1558.71,-100,250,0,BASE
1593.71,250,250,30,ENTER
1618.96,15.1998,157.073,30,WAYPOINT
1618.96,73.3779,118.044,0,CH_4
1654.2,13.6938,267.207,0,CH_14
1674.36,172.78,334.873,0,CH_7
1689.95,342.61,262.274,0,CH_11
1698.55,279.345,215.349,0,CH_17
1733.05,400.372,357.985,0,CH_20
1739.29,484.131,401.379,0,CH_21
1772.19,438.195,432.51,0,CH_24
1808.46,447.303,414.573,0,CH_25
1846.17,439.071,335.264,0,CH_29
1880.59,478.945,205.894,0,CH_32
1907.15,494.431,330.318,0,CH_40
